class,level,ability,description
"druid
",0,druid's cant,"All druids speak a secret language called the druids’ cant. The druidic cant cannot be learned by non-druids (unless otherwise noted, such as in the case of higher-level assassins).
"
"druid
",3,"druid's knowledge
","At third level and higher, a druid can identify plant and animal types, and can determine when water is pure and safe to drink."
"druid
",3,"wilderness movement
","At third level and higher, a druid can move through any natural undergrowth leaving no trace of his or her passage, and may do so with no reduction in his or her normal movement speed."
"druid
",7,"immunity to fey charm
","At seventh level and higher, the druid becomes immune to charms and other such mental enchantments cast by fey creatures such as dryads, pixies, brownies, etc."
"druid
",7,shapeshift,"Druids of 7th level or higher may change their forms up to three times per day. The form assumed must be a natural animal, no smaller than a mouse, and no larger than double the druid’s normal weight; in the process of shapeshifting, the druid recovers 1d6 x 10 percent of any hit points he or she might have sustained as damage."
assassin,0,assassination,"If an assassin gains surprise, he or she may elect to assassinate the victim. The assassin need not roll to hit for an assassination attempt, which is a special attack resulting in a chance to kill the victim instantly and ensure damage even if the victim is not successfully killed. The percentage chance to kill a victim is 50%, with a bonus of 5% per level of the assassin and a penalty of 5% for every two levels of the target (rounding down; in the case of monsters, substitute “hit dice” for “level”). These numbers are approximate, for the GM should modify the assassin’s chances slightly upward or downward according to the circumstances—guarded or wary targets are less likely to be killed, and unwary victims are more likely to die. If the assassination attempt does not succeed, the attack still inflicts normal damage, together with any applicable bonuses. The assassin does not gain backstab multiple damage on a failed assassination attempt, even if the assassination attempt was made from behind."
assassin,0,backstab,"An assassin may backstab with any of the melee weapons permissible to the thief class. Backstabbing doubles the weapon’s damage at levels 1-4, triple at levels 5-8, quadruple at level 9-12, and so on. Also, an assassin attacks from behind with a bonus to hit of +4 rather than the ordinary +2."
assassin,0,disguise,"Assassins are masters of disguise. Within reasonable limits, an assassin can make himor herself appear slightly shorter or considerably taller, fatter or thinner, or of the opposite gender. An assassin can even disguise himor herself as a member of another race (again, within reason). Any person observing the disguised assassin has a base 2% chance to see through the disguise, with one chance per day to do so. The base chance of seeing through a disguise increases another 2% if the assassin is posing as another class, race or gender (max 8% chance). The GM may assign additional penalties and bonuses to this check if the observer is unusually wise or intelligent (or particularly stupid), and common sense, of course, applies at all times."
assassin,0,poison,"Assassins are not inherently better at using poison than any other character class capable of using poison, but generally have more opportunities to gain knowledge of poisons and their effects."
assassin,0,climb,"Climbing represents an assassin’s ability to scale sheer walls and surfaces, cling to ceilings, and perform other feats of climbing that would normally be impossible. Climbing checks must ordinarily be repeated for every ten ft of climbing. Non-assassins cannot climb walls, cliffs, or any vertical surface without the use of a rope or magic, making the presence of an assassin vital to many adventuring parties."
