level,climb_walls,find_traps,hear_noise,hide_in_shadows,move_quietly,open_locks,pick_pockets,read_languages
1,0.8,0.25,0.1,0.2,0.2,0.3,0.35,0.01
2,0.82,0.29,0.13,0.25,0.25,0.34,0.39,0.05
3,0.84,0.33,0.16,0.3,0.3,0.38,0.43,0.1
4,0.86,0.37,0.19,0.35,0.35,0.42,0.47,0.15
5,0.88,0.41,0.22,0.4,0.4,0.46,0.51,0.2
6,0.9,0.45,0.25,0.45,0.45,0.5,0.55,0.25
7,0.91,0.49,0.28,0.5,0.5,0.54,0.59,0.3
8,0.92,0.53,0.31,0.55,0.55,0.58,0.63,0.35
9,0.93,0.57,0.34,0.6,0.6,0.62,0.67,0.4
10,0.94,0.61,0.37,0.65,0.65,0.66,0.71,0.45
11,0.95,0.65,0.4,0.7,0.7,0.7,0.75,0.5
12,0.96,0.69,0.43,0.75,0.75,0.74,0.79,0.55
13,0.97,0.73,0.46,0.8,0.8,0.78,0.83,0.6
14,0.98,0.77,0.49,0.85,0.85,0.82,0.87,0.65
15,0.99,0.81,0.52,0.9,0.9,0.86,0.9,0.7
16,0.99,0.85,0.55,0.91,0.91,0.9,0.91,0.75
17,0.99,0.89,0.58,0.92,0.92,0.92,0.92,0.8
18,0.99,0.91,0.61,0.93,0.93,0.93,0.93,0.85
19,0.99,0.93,0.64,0.94,0.94,0.94,0.94,0.9
20,0.99,0.95,0.67,0.95,0.95,0.95,0.95,0.92
21,0.99,0.97,0.7,0.96,0.96,0.96,0.96,0.94
22,0.99,0.99,0.73,0.97,0.97,0.97,0.97,0.96
23,0.99,0.99,0.76,0.98,0.98,0.98,0.98,0.98
24,0.99,0.99,0.79,0.99,0.99,0.99,0.99,0.99
